locale/slug,en,cn
register/registration/guardian-email/error/unique,This e-mail is already registered.,此电子邮箱已被注册
register/registration/password/label,Password,密码
register/registration/password/placeholder,,
register/registration/password/tip,Don't tell your password to anyone!,密码请勿外泄
register/registration/password/error/pre-validation,Password must be at least 6 characters long.,密码至少6位
register/registration/password/error/required,Password is required.,需要输入密码
register/registration/password-confirmation/label,Confirm Password,确认密码
register/registration/password-confirmation/placeholder,,
register/registration/password-confirmation/tip,,
register/registration/password-confirmation/error/pre-validation,Passwords don't match.,两次输入不匹配
register/registration/password-confirmation/error/required,Password confirmation is required.,需要进行密码确认.
register/registration/gender/label,You identify yourself as,你认为你自己是
register/registration/gender/placeholder,,
register/registration/gender/tip,This information will not be public.,这些信息不会公开.
register/registration/gender/error/pre-validation,,
register/registration/birthdate/label,Birthdate,生日
register/registration/birthdate/placeholder,,
register/registration/birthdate/error/pre-validation,"For legal reasons, we need to know your age.",因为法律原因，我们需要知道您的年龄.
register/registration/birthdate/day/label,,
register/registration/birthdate/month/label,,
register/registration/birthdate/year/label,,
register/registration/birthdate/day/placeholder,Day,日
register/registration/birthdate/month/placeholder,Month,月
register/registration/birthdate/year/placeholder,Year,年
register/registration/terms/label,Terms and conditions,条款和条件
register/registration/terms/placeholder,I've read and accepted the <a href='{% assign arg1='terms-of-use' %}{% include f_print_page_url %}' target='_blank'>terms of use</a> and the <a href='{% assign arg1='privacy-policy' %}{% include f_print_page_url %}' target='_blank'>privacy policy</a>.,我已经阅读并接受<a href='{% assign arg1='terms-of-use' %}{% include f_print_page_url %}' target='_blank'>terms of use</a> 以及 <a href='{% assign arg1='privacy-policy' %}{% include f_print_page_url %}' target='_blank'>隐私条例</a>.
register/registration/terms/tip,,
register/registration/terms/error/pre-validation,You must read and agree to the terms and conditions.,您必须阅读并同意这些条款和条件。
register/registration/submit,Join,加入
register/login/call-to-action,Log in,登陆
register/login/error/E_VALIDATION,There are errors in the inputs.,输入信息有误
register/login/error/AUTH_GRANT,You have entered an invalid username or password.,您输入的用户名或密码无效。
register/login/error/CONNECTION_REFUSED,"Quirkbot CODE is having problems connecting to the servers, please try again later.",Quirkbot CODE无法连接到服务器，请稍后重试。
register/login/nickname/label,Nickname,用户名
register/login/nickname/placeholder,,
register/login/nickname/tip,,
register/login/nickname/error/pre-validation,Nickname is required.,用户名是必须的.
register/login/password/label,Password,密码
register/login/password/placeholder,,
register/login/password/tip,,
register/login/password/error/pre-validation,Password is required.,密码是必须的
register/login/password/error/pre-validation,Password is required.,密码是必须的
register/login/submit,Log in,登陆
register/profile-redirect,Loading your profile...,正在读取您的资料
register/password-reset/call-to-action,Forgot your password?,忘记密码？
register/password-reset/heading,Reset password,重置密码
register/password-reset/nickname/label,Nickname,用户名
register/password-reset/nickname/placeholder,,
register/password-reset/nickname/tip,,
register/password-reset/nickname/error/pre-validation,Nickname is required.,用户名是必须的.
register/password-reset/error/CONNECTION_REFUSED,"Quirkbot CODE is having problems connecting to the servers, please try again later.",Quirkbot CODE无法连接到服务器，请稍后重试。
register/password-reset/submit,Request password reset,请求密码重置
register/password-reset/success,Request sent! Please check your email for instructions.,已经发送重置邮件，请查阅您的邮箱。
ide/password-reset/page/success/description,Password reseted successfully! Please log in to continue.,密码重置成功，请登陆后继续使用
ide/password-reset/page/success/call-to-action,Log in,登陆
ide/password-reset/error/CONNECTION_REFUSED,"Quirkbot CODE is having problems connecting to the servers, please try again later.",Quirkbot CODE无法连接到服务器，请稍后重试。
gender/male,Male,男
gender/female,Female,女
gender/other,Other,其他
gender/undefined,Don't want to tell,就不告诉你
